time_s,servo_deg,dist_cm
0,30,3.94
0.02,30,7.7
0.04,30,11.55
0.06,44.06,15.49
0.08,96.06,19.34
0.1,147.66,19.17
0.12,194.45,19.26
0.14,232.41,19.26
0.16,258.22,19.17
0.18,269.57,19.17
0.2,265.4,19.17
0.22,245.98,19.08
0.24,212.89,19.08
0.26,168.97,19.08
0.28,118.01,19.17
0.3,64.47,19.34
0.32,30,19.43
0.34,30,19.51
0.36,30,19.52
0.38,30,19.51
0.4,30,19.43
0.42,30,19.43
0.44,30,19.51
0.46,30,19.6
0.48,39.46,19.52
0.5,93.62,19.52
0.52,147.55,19.44
0.54,196.24,19.26
0.56,235.14,19.08
0.58,260.54,19
0.601,270,19
0.621,261.64,19.08
0.641,237.02,19
0.661,198.38,19
0.681,149.32,19
0.701,94.5,18.92
0.721,39.12,19.18
0.741,30,19.17
0.761,30,19.34
0.781,30,19.51
0.801,30,19.68
0.821,30,19.42
0.841,30,19.51
0.861,30,19.6
0.881,30,19.6
0.901,85.73,19.51
0.921,142.15,19.43
0.941,193.45,19.43
0.961,234.42,19.26
0.981,260.85,19.17
1.001,270,19.17
1.021,260.82,19.26
1.041,234.15,19.23
1.061,192.63,19.2
1.081,140.45,19.17
1.101,82.96,19.14
1.121,30,19.19
1.141,30,19.11
1.161,30,19.07
1.181,30,19.16
1.201,30,19.25
1.221,30,19.16
1.241,30,19.25
1.261,30,19.46
1.281,60.28,19.46
1.301,119.3,19.46
1.321,175.27,19.47
1.341,222.11,19.46
1.361,254.69,19.26
1.381,269.37,19.17
1.401,264.46,19
1.421,240.38,19
1.441,199.68,19
1.461,146.78,19.03
1.481,87.48,19.03
1.501,30,19.29
1.521,30,19.37
1.541,30,19.45
1.561,30,19.42
1.581,30,19.51
1.601,30,19.42
1.621,30,19.33
1.641,30,19.25
1.661,74.59,19.37
1.681,135.47,19.29
1.701,191.2,19.2
1.721,235.29,19.2
1.741,262.56,19.21
1.761,269.73,19.09
1.781,255.85,19.1
1.801,222.45,19.1
1.821,173.36,19.18
1.841,114.31,19.18
1.861,52.28,19.21
1.881,30,19.12
1.901,30,19.2
1.921,30,18.94
1.941,30,19.02
1.961,30,18.93
1.981,30,19.02
2.001,30,18.93
2.021,65.7,19.28
2.041,128.71,19.12
2.061,187.06,19.21
2.081,233.52,19.21
2.101,262.28,19.21
2.121,269.67,19.04
2.141,254.65,19.12
2.161,219,19.09
2.181,167.08,19.09
2.201,105.36,19.09
2.221,41.6,19.09
2.241,30,19.17
2.261,30,19.29
2.281,30,19.29
2.301,30,19.37
2.321,30,19.46
2.341,30,19.29
2.361,30,19.27
2.381,92.59,19.27
2.401,156.37,19.11
2.421,211.57,19.02
2.441,250.9,19.11
2.461,269.1,19.05
2.481,263.67,19.04
2.501,235.21,19.13
2.521,187.38,19.12
2.541,126.48,19.12
2.561,60.59,19.09
2.581,30,19.44
2.601,30,19.43
2.621,30,19.6
2.641,30,19.77
2.661,30,19.88
2.681,30,19.53
2.701,30,19.54
2.721,88.2,19.46
2.741,154.03,19.29
2.761,211.11,19.18
2.781,251.46,19.18
2.801,269.39,19.18
2.821,262.28,19.1
2.841,231.02,19.09
2.861,179.87,19.12
2.881,115.96,19.12
2.901,48.28,19.11
2.921,30,19.2
2.941,30,19.2
2.961,30,19.26
2.981,30,19.26
3.001,30,19.27
3.021,30,19.18
3.041,47.21,19.43
3.061,115.75,19.37
3.081,180.64,19.37
3.101,232.38,19.37
3.121,263.34,19.38
3.141,268.85,19.12
3.161,247.99,19.09
3.181,203.71,19.01
3.201,142.49,19.01
3.221,73.36,19.01
3.241,30,19.1
3.261,30,19.21
3.281,30,19.38
3.301,30,19.47
3.321,30,19.55
3.341,30,19.38
3.361,34.67,19.29
3.381,104.57,19.3
3.401,172.32,19.13
3.421,227.54,18.96
3.441,261.64,19.04
3.461,269.27,19.05
3.481,249.12,18.95
3.501,204.19,18.96
3.521,141.38,19.04
3.541,70.45,19.04
3.561,30,19.04
3.581,30,19.04
3.601,30,19.12
3.621,30,19.18
3.641,30,19.26
3.661,30,19.27
3.681,49.46,19.27
3.701,121.53,19.18
3.721,188.64,19.12
3.741,239.94,19.04
3.761,267.05,19.04
3.781,265.48,19.04
3.801,235.35,19.12
3.821,181.46,19.09
3.841,112.52,19.01
3.861,39.78,19.01
3.881,30,19.09
3.901,30,19.09
3.921,30,19.2
3.941,30,19.29
3.961,30,19.29
3.981,30,19.13
4.001,92.83,19.21
4.021,164.84,19.02
4.041,224.34,18.93
4.061,261.21,18.85
4.081,269.08,18.85
4.101,246.51,18.68
4.121,197.2,18.79
4.141,129.48,18.87
4.161,54.9,18.87
4.181,30,19.3
4.201,30,19.3
4.221,30,19.28
4.241,30,19.37
4.261,30,19.53
4.281,30,19.45
4.301,88.9,19.53
4.321,162.78,19.47
4.341,223.94,19.39
4.361,261.53,19.3
4.381,268.79,19.04
4.401,244.3,19.04
4.421,192.29,19.09
4.441,121.93,19.09
4.461,45.76,19.09
4.481,30,19.18
4.501,30,19.18
4.521,30,19.29
4.541,30,19.38
4.561,30,19.53
4.581,33.31,19.53
4.601,109.87,19.79
4.621,182.88,19.6
4.641,238.93,19.51
4.661,267.6,19.37
4.681,263.49,19.28
4.701,227.22,18.93
4.721,165.4,19.04
4.741,89.45,18.95
4.761,30,18.95
4.781,30,18.86
4.801,30,18.85
4.821,30,18.91
4.841,30,19.08
4.861,30,19.26
4.881,76.63,19.44
4.901,154.39,19.44
4.921,219.96,19.39
4.941,260.71,19.3
4.961,268.72,19.13
4.981,242.31,19.04
5.001,186.45,19.12
5.021,111.83,19.09
5.041,32.88,19.09
5.061,30,19
5.081,30,19.17
5.101,30,19.16
5.121,30,19.27
5.141,30,19.27
5.161,65.13,19.45
5.181,144.95,19.19
5.201,213.96,19.2
5.221,258.39,19.09
5.241,269.28,19.1
5.261,244.31,19.01
5.281,188.35,19.09
5.301,112.53,19.09
5.321,32.07,19.12
5.341,30,19.2
5.361,30,19.28
5.381,30,19.45
5.401,30,19.37
5.421,30,19.34
5.441,75.22,19.35
5.461,155.97,19.18
5.481,223.23,19.02
5.501,263.05,19.11
5.521,267.08,19.14
5.541,234.33,19.04
5.561,171.5,19.13
5.581,91.57,19.12
5.601,30,19.21
5.621,30,19.09
5.641,30,19.08
5.661,30,19.07
5.681,30,19.15
5.701,30,19.06
5.721,107.06,19.36
5.741,185.76,19.37
5.761,244.1,19.37
5.781,269.48,19.29
5.801,256.34,19.29
5.821,207.36,19.17
5.841,132.97,19.17
5.862,45.08,19.18
5.882,30,19.35
5.902,30,19.26
5.922,30,19.19
5.942,30,19.11
5.962,30,19.11
5.982,79.62,18.93
6.002,162.81,19.02
6.022,230,19.01
6.042,266.26,19.16
6.063,262.2,19.16
6.083,218.97,19.16
6.105,138.67,19.24
6.125,53.52,19.35
6.145,30,19.37
6.165,30,19.28
6.185,30,19.27
6.205,30,19.18
6.225,30,19.09
6.245,79.71,19
6.265,164.22,19.08
6.285,231.87,19.23
6.305,267.11,19.32
6.326,260.36,19.32
6.346,213.67,19.49
6.368,129.9,19.75
6.388,43.29,19.78
6.408,30,20.03
6.428,30,20.03
6.448,30,19.84
6.468,30,19.66
6.489,30,19.55
6.509,103.35,19.39
6.529,186.31,19.48
6.549,246.63,19.68
6.569,269.95,19.6
6.59,248.56,19.54
6.61,189.38,19.37
6.631,102.01,19.28
6.652,30,19.11
6.672,30,19.11
6.692,30,19.09
6.712,30,19.16
6.732,30,19.42
6.752,52.52,19.48
6.772,141.14,19.49
6.792,217.42,19.5
6.812,262.73,19.44
6.834,263.75,19.18
6.854,219.88,19.06
6.875,139.76,19.01
6.895,50.45,19.01
6.916,30,18.95
6.936,30,18.89
6.956,30,18.94
6.976,30,18.93
6.996,30,19.11
7.016,112.93,19.32
7.036,196.58,19.33
7.056,253.57,19.42
7.076,269.47,19.43
7.097,237.56,19.21
7.118,164.56,19.05
7.139,70.7,19.1
7.159,30,19.02
7.179,30,18.88
7.199,30,18.92
7.219,30,18.97
7.239,30,19.06
7.259,96.01,19.06
7.279,183.6,19.26
7.3,249.31,19.27
7.32,269.92,19.21
7.34,243.85,19.12
7.36,177.74,19.12
7.381,84.02,19.12
7.401,30,19.12
7.421,30,19.18
7.441,30,19.16
7.461,30,19.07
7.481,30,18.98
7.501,90.71,18.98
7.521,180.19,18.84
7.541,245.81,18.86
7.561,270,18.95
7.582,243.79,19.04
7.603,172.29,19.04
7.623,81.14,19.12
7.644,30,19.09
7.664,30,19.18
7.684,30,19.15
7.704,30,19.24
7.724,30,19.32
7.744,106.36,19.26
7.764,194.49,19.17
7.784,254.18,19.2
7.804,268.97,19.12
7.825,231.77,19.12
7.846,151.64,19.19
7.867,52.74,19.27
7.887,30,19.33
7.907,30,19.39
7.927,30,19.39
7.947,30,19.4
7.967,42.65,19.32
7.987,137.84,19.44
8.007,219.73,19.38
8.027,265.28,19.21
8.048,260.03,19.14
8.069,202.02,19.13
8.089,113.94,18.88
8.111,30,18.85
8.131,30,19.02
8.151,30,19.16
8.171,30,19.07
8.191,30,19.24
8.211,94.01,19.43
8.231,186.39,19.27
8.251,251.1,19.21
8.271,269.4,19.21
8.291,235.85,19.13
8.312,155.46,18.93
8.333,54.07,18.93
8.353,30,18.93
8.373,30,19.01
8.393,30,19.1
8.413,30,19.21
8.433,53.87,19.38
8.453,151.3,19.29
8.473,230.74,19.3
8.493,268.66,19.13
8.514,251.55,19.04
8.534,185.92,18.82
8.555,86.7,18.9
8.575,30,18.78
8.595,30,18.9
8.615,30,18.99
8.635,30,19.16
8.655,30,19.11
8.675,126.79,19.09
8.695,214.38,19.01
8.716,265.57,18.91
8.736,259.94,18.88
8.757,198.65,18.88
8.778,100.89,19
8.799,30,19.05
8.819,30,19.05
8.839,30,19.12
8.859,30,19.25
8.879,30,19.27
8.899,125.13,19.27
8.919,214.04,19.27
8.939,264.58,19.2
8.959,260.91,19.12
8.981,195.94,19.13
9.001,101.3,19.12
9.022,30,19.12
9.042,30,19.18
9.062,30,19.18
9.082,30,19.15
9.102,30.9,19.24
9.122,132.03,19.33
9.142,219.93,19.26
9.163,267.57,19.27
9.184,253.14,19.47
9.204,185.9,19.38
9.225,82.77,19.29
9.245,30,19.29
9.265,30,19.28
9.285,30,19.17
9.305,30,19.23
9.325,49.74,19.32
9.345,151.97,19.29
9.365,234.2,19.3
9.385,269.64,19.33
9.406,243.98,19.36
9.426,167.79,19.44
9.448,55.77,19.55
9.468,30,19.55
9.488,30,19.45
9.508,30,19.45
9.528,30,19.27
9.548,82.8,19.42
9.568,183.13,19.51
9.588,252.66,19.6
9.608,268.17,19.51
9.629,220.75,19.52
9.65,125.29,19.21
9.67,30,19.12
9.69,30,19.12
9.71,30,19.01
9.73,30,19.09
9.75,30,19.23
9.77,124.43,19.24
9.79,217,19.15
9.81,266.55,19.26
9.832,251.69,19.18
9.852,179.94,19.12
9.873,72.09,19.11
9.893,30,19.11
9.913,30,19.19
9.933,30,19.28
9.953,30,19.28
9.973,78.09,19.28
9.993,181.11,19.29
10.013,252.66,19.18
10.034,266.9,19.09
10.054,217.39,19.09
10.075,118.12,19.04
10.096,30,18.98
10.116,30,18.81
10.136,30,18.62
10.156,30,18.48
10.176,43.46,18.52
10.196,150.31,18.66
10.216,235.95,18.78
10.236,269.96,18.97
10.257,237.07,19.12
10.277,151.81,19.08
10.299,33.98,19
10.319,30,19.06
10.339,30,18.97
10.359,30,18.96
10.379,30,19.09
10.399,128.6,19.18
10.419,222.37,19.27
10.439,268.39,19.34
10.46,247.27,19.35
10.48,168.42,19.27
10.502,50.18,19.18
10.522,30,19.18
10.543,30,19.11
10.563,30,19.19
10.583,30,19.19
10.603,123.06,19.27
10.623,219.27,19.19
10.643,267.91,19.37
10.663,250.89,19.28
10.683,174.34,19.37
10.704,60.95,19.26
10.724,30,19.26
10.744,30,19.06
10.764,30,19.05
10.784,30,19.05
10.804,112.29,19.07
10.824,212.26,19.07
10.845,267.41,19.19
10.865,251.76,19.2
10.886,170.08,19.12
10.907,55.06,19.09
10.927,30,19.09
10.947,30,19
10.967,30,18.99
10.987,30,18.99
